page,terms
1,Asmonean|Literary associations|Republicanism|Spain|Thanksgiving|War of Independence (American)
2,"Disasters, natural & man-made|Philadelphia|Public school|Republicanism|Thanksgiving"
3,"Abarbanel, Isaac ben Judah|Asmonean|Higher biblical criticism|Ibn Ezra, Abraham|Luzzatto, S.D. Prof.|Niebhur, Carstens|Wise, I. M.|History of the Jewish Nation"
4,"Asmonean|Higher biblical criticism|Rapoport, S.L.|Wise, I. M."
5,"Asmonean|Ibn Ezra, Abraham|Wise, I. M."
6,"Asmonean|Ibn Ezra, Abraham|Wise, I. M."
7,"Asmonean|Constitution, American|English antagonism|Knownothingism|Labour, condition of|Pennsylvania, Governor of|Prosperous|City of Fidelity|City of Love|City of Righteousness|Providence|Thanksgiving"
8,"Asmonean|Charity|Gans, Daniel|Jewish Foster Home Society, Philadelphia|Jewish Foster Home and Orphan Asylum, Philadelphia|Domestic|Pauperism"
9,"Holdheim, I.|Jerusalem|Rapoport, S.L.|Reform Judaism, (also ""Neology""/""Gentilism"")|Religion and Philosophy|Creeds and Opinions|Sachs, Dr.|Sunday Dispatch, The|Zunz, Leopold"
10,"Frederic the Great|Joseph II, H. R. E.|Luzzatto, S.D. Prof.|Rapoport, S.L.|Reform Judaism, (also ""Neology""/""Gentilism"")|Sunday Dispatch, The|Wessely, Hertz"
11,Jewish Messenger|Discourse on the Resurrection of the Dead
12,Jewish Messenger|Discourse on the Resurrection of the Dead
13,Jewish Messenger|Discourse on the Resurrection of the Dead
14,"Jewish Messenger|Discourse on the Resurrection of the Dead|Reggio, Isaac Samuel"
15,"Jewish Messenger|Discourse on the Resurrection of the Dead|Rubinstein, Isaac"
16,"Higher biblical criticism|Jewish Messenger|Luzzatto, S.D. Prof."
17,"Breidenbach, Rev. J.|Crown Street|Julianna Street|Leghorn|Etting, Ruben|Franks, Levi|Gratz, Michael|Gratz, Rebecca|Gratz, Simeon|Hassler, Mark|Higher biblical criticism|Isaacs, S. Meyer Rev|Jewish Messenger|Leeser, Rev I.|Madison, James|Mikveh Israel|Morris, Robert|Pape, Rev. G.|Jews move west in|Sabbath School|Solomon, Hayim|Architecture, see|Vadaver, H.|Washington, George"
18,"Chalizah|Shaarei Shamayim (London)|Jewish Messenger|Kalisch, Dr. Isidor"
19,"Chalmers, Dr. Mamzer, law of the|Jewish Messenger|Solla (of Montego Bay), Jacob M. de"
20,"Chalmers, Dr. Mamzer, law of the|Jewish Messenger|Solla (of Montego Bay), Jacob M. de"
21,"Chalmers, Dr.|Chalmers, Dr. Mamzer, law of the|Jewish Messenger|Solla (of Montego Bay), Jacob M. de"
22,"Civil War|Jewish Messenger|Lincoln, Abraham"
23,"Civil War|Jewish Messenger|Michael, H. I.|Keystone State|Thanksgiving"
24,"Civil War|Lincoln, Abraham"
25,Civil War|Jewish Messenger|Union League (of Philadelphia)
26,Bandiera brothers|Civil War|Dante Alighieri|Italy|Petrarch
27,"Hart, Sara H.|Jewish Messenger"
28,Atlanta|Civil War|Copperheads|Maryland|Slavery|Vicksburg
29,"Abolitionism|Confederacy, The|Everett|Lincoln, Abraham|Palestine|Quebec|Slavery"
30,"Capital punishment|Johnson, Andrew"
31,"Disasters, natural & man-made|As advance troops of Universal Emancipation|Public school|Thanksgiving"
32,"Jewish Messenger|Creating a unified American Rite|Occident, The"
33,"Jewish Messenger|Maimonides, Moses"
34,Jewish Messenger|Creating a unified American Rite|and social virtue
35,"Charity|Hebrew Relief Association|Jewish Messenger|Leeser, Rev I.|Peabody, George|United Hebrew Charities"
36,"Chorin, Aaron|Dukes family|Endelmann family|Jewish Messenger|Creating a unified American Rite|Rapoport, S.L."
37,Christian evangelism|Touros
38,Anti-Semitism and its good effect|Christian evangelism|Fraud charge|Jewish Messenger
39,"Artom, Isaac|Cavalieri, E.: Cavour, C.|Delitzch, Franz|Ewald, H.|Hallevi|Lavater, Johan Casper|Mendelssohn, Moses|Meyerbeer, G.|Protestant Episcopal Association"
40,"Abolitionism|Archivolti|Gesenius, H.|Ibn Ezra, Abraham|Ibn Ganach, Jonah|Israelite, The|Jewish Messenger|Luzzatto, S.D. Prof.|Maimonides College|Salvador, J.|History of the Jewish Nation"
41,"Jewish Messenger|Reform Judaism, (also ""Neology""/""Gentilism"")"
42,"Disasters, natural & man-made|Italy|Pennsylvania, Governor of|Pulpit & politics|Thanksgiving"
43,"Leeser, Rev I.|Luzzatto, S.D. Prof.|Munk, S.|Rapoport, S.L."
44,"Disasters, natural & man-made|Pennsylvania, Governor of|Spain"
45,"Adler, Dr. Nathan M. (Chief Rabbi of Great Britain)|Bergh, Henry|and Ritual Slaughter|Kayserling, Dr. M.|Porter, Judge|Slaughtering Techniques|Society for the Prevention of Cruelty to Animals"
46,"Modern|Jewish Messenger|Letteris, Mayer M.|Luzzatto, S.D. Prof.|Reggio, Isaac Samuel|Vidaver, Dr. Henry"
47,"Constitution, American|Constitution, American: Christianizing|Sunday Dispatch, The"
48,"Ha-Maggid|Modern|Jeitelles, Judah|Jewish Messenger|Letteris, Mayer M.|Luzzatto, S.D. Prof.|Meassephim|Metastasio"
49,"Archives Isra?lites de France|Bayle, Pierre|Galicia|Jellinek, Dr. Adolph|Jewish Messenger|Lemberg|Military draft|Anshe Hashem"
50,Jewish Messenger|Encyclopedia
51,"Peabody, George|Thanksgiving"
52,"Hirsch, Samuel|Jewish Messenger|Rabbinical Conference"
53,Jewish Messenger|Encyclopedia
54,Jewish Messenger|Encyclopedia
55,"Capital punishment|Sunday Dispatch, The"
56,and the Occult|Occult
57,"Franco-Prussian War|Garibaldi, Guiseppe|Lafayette, General de|Paris|Thanksgiving"
58,"Constitution, American|Constitution, American: Christianizing|Seperation of Church and State"
59,Christian evangelism|Protestant Episcopal Association
60,Jewish Messenger
61,"Bandiera brothers|Bonaparte, Napoleon|Cobden, William|D?Harcourt, Duke|Disasters, natural & man-made|Entente cordiale|Franco-Prussian War|Italy|Mortara, Edgar|Pellico, Silvio|Ricci|Thanksgiving|Thiers|Treaty of Washington|Victor Emmanuel II (King of Italy)"
62,"Chorin, Aaron|Hamburg|Jewish Messenger|and Synagogue Music|Leghorn, Chief Rabbi of|Modena, Leon de|Recanti of Verona|Shem Tob Samson|Solomon of Malach, (Chief Rabbi of Leghorn)|Organ music in"
63,"Hebrew Calendar|Jewish Hospital of Cincinnati|Jewish Index, The|Rosh Hashanah"
64,"Jewish Hospital of Cincinnati|Jewish Index, The|Rabbinical Teachings"
65,"Israelitish Review|Jewish Hospital of Cincinnati|Jewish Index, The|Lessons in Moral Theology"
66,"Jewish Hospital of Cincinnati|Jewish Index, The|Succoth"
67,"Jewish Hospital of Cincinnati|Jewish Index, The|Rabbinical Teachings"
68,"Jewish Hospital of Cincinnati|Jewish Index, The|Lessons in Moral Theology"
69,"Jewish Hospital of Cincinnati|Jewish Index, The|Rabbinical Teachings"
70,"Jewish Hospital of Cincinnati|Jewish Index, The|Lessons in Moral Theology"
71,"Adas Israel|Elkin, Dr. M.|Fox, Daniel M.|Hirsch, Samuel|Jacobs, George (Rev.)|Jastrow, Morris|Jewish Hospital of Cincinnati|Jewish Index, The"
72,"Jewish Hospital of Cincinnati|Jewish Index, The|Mount Sinai|Palmer, Captain H. S."
73,"Jewish Hospital of Cincinnati|Jewish Index, The|Lessons in Moral Theology"
74,"Boston|Disasters, natural & man-made|Jewish Hospital of Cincinnati|Jewish Index, The"
75,"Boston|Disasters, natural & man-made|Jewish Hospital of Cincinnati|Jewish Index, The"
76,"Jewish Hospital of Cincinnati|Jewish Index, The|Meade, General"
77,"Hebrew Education Society School|Jewish Hospital of Cincinnati|Jewish Index, The|Leeser, Rev I."
78,"Jewish Hospital of Cincinnati|Jewish Index, The|Lessons in Moral Theology"
79,"Jewish Hospital of Cincinnati|Jewish Index, The|Rabbinical Teachings"
80,"Jewish Hospital of Cincinnati|Jewish Index, The|Synagogue, The|Unity"
81,"Jewish Hospital of Cincinnati|Jewish Index, The|Jewish Women|Morais, Nina|Teachers"
82,"Jewish Hospital of Cincinnati|Jewish Index, The|Rabbinical Teachings"
83,"Jewish Hospital of Cincinnati|Jewish Index, The|Lessons in Moral Theology"
84,"Jewish Hospital of Cincinnati|Jewish Index, The|Synagogue, The|Minhag and Prayer|Prayer and"
85,"Friedenwald, A.|Jewish Hospital of Cincinnati|Jewish Index, The"
86,"Jewish Hospital of Cincinnati|Jewish Index, The|Lessons in Moral Theology"
87,"Jewish Hospital of Cincinnati|Jewish Index, The|Modernity|Prayer and|and Modernising"
88,"Jewish Hospital of Cincinnati|Jewish Index, The|Rabbinical Teachings"
89,"Greely, Horace|Jewish Hospital of Cincinnati|Jewish Index, The"
90,"Elkin, Dr. M.|Hebrew Education Society School|Jacobs, George (Rev.)|Jacobs, Henry S.|Jastrow, Morris|Jewish Hospital of Cincinnati|Jewish Index, The|Unity|Thanksgiving"
91,"Jewish Hospital of Cincinnati|Jewish Index, The|Lessons in Moral Theology"
92,"Castner|Jewish Hospital of Cincinnati|Jewish Index, The|Unity"
93,"Jewish Hospital of Cincinnati|Jewish Index, The|Rabbinical Teachings"
94,"Ha-Maggid|Jewish Hospital of Cincinnati|Jewish Index, The|Warsaw"
95,"Jewish Hospital of Cincinnati|Jewish Index, The|Lessons in Moral Theology"
96,"Jewish Hospital of Cincinnati|Jewish Index, The|and Ritual ""innovation"""
97,"Jewish Hospital of Cincinnati|Jewish Index, The|Rabbinical Teachings"
98,"Jewish Hospital of Cincinnati|Jewish Index, The|Lessons in Moral Theology"
99,"Hanuccah|Jewish Hospital of Cincinnati|Jewish Index, The"
100,"Jewish Hospital of Cincinnati|Jewish Index, The|Rabbinical Teachings"
101,"Jewish Hospital of Cincinnati|Jewish Index, The|Lessons in Moral Theology"
102,"Jewish Hospital of Cincinnati|Jewish Index, The|Tedesco, Baron Herman|Vienna, Jewish Community of"
103,"Ascher, Rev. Simon|Boulogne|Green, Rev. A. L.|Jewish Chronicle, The (London)|Jewish Hospital of Cincinnati|Jewish Index, The|Levi, David (of Turin)|Mendelssohn, Samuel|Zadoc, Dr."
104,"Jewish Hospital of Cincinnati|Jewish Index, The|Thanksgiving"
105,"Alliance IsraA?lite Universelle|Benamozegh, Elias (of Leghorn)|Nizachon|Luzzatto, S.D. Prof.|Modena, Leon de|Milchamoth Chobah|Rossi, Azariah de|Jesus Christ et sa Doctrine|Chizzuk Emunah"
106,"Jewish Hospital and Home of the Aged, Philadelphia"
107,"Jewish Messenger|Mendelssohn, Moses|Jerusalem|Reform Judaism, (also ""Neology""/""Gentilism"")"
108,"Castelar, Emilio|Cuba|Jewish Messenger|Mikveh Israel|Keystone State|Thanksgiving"
109,Hebrew|Hebrew Education Society School|as language of prayer|Jewish Messenger
110,Cremation
111,"Castellar: Castelli, David|Donnolo, Sabbatei|Donolo, I.|Italian|Jewish Messenger|Sepher Yetzirah|Tachkemoni"
112,"Italian|Jewish Messenger|Kalir, Eleazar|Occident, The|Sulzberger, Mayer"
113,"Aruch Completum|Italian|Jewish Messenger|Kohut, Dr. Alexander|Nathan the Lexicographer"
114,"Italian|Immanuel of Rome|Jewish Messenger|Perreau, Pietro"
115,Italian|Immanuel of Rome|Jewish Messenger
116,Italian|Immanuel of Rome|Jewish Messenger
117,Italian|Immanuel of Rome|Jewish Messenger
118,"Graetz, Dr. Heinrich|Italian|Immanuel of Rome|Jewish Messenger"
119,Italian|Immanuel of Rome|Jewish Messenger
120,Italian|Immanuel of Rome|Jewish Messenger
121,Italian|Immanuel of Rome|Jewish Messenger
122,"Italian|Jewish Messenger|Medigo, Elias Del|Reggio, Isaac Samuel"
123,"Italian|Jewish Messenger|Rossi, Azariah de|Zunz, Leopold"
124,"Italian|Jewish Messenger|Rossi, Azariah de"
125,"Italian|Jewish Messenger|Nieto, David"
126,"Italian|Jewish Messenger|Nieto, David"
127,"Almansi|Balmesi|Benedetti, Salvatore de|Italian|Jewish Messenger|Lampronti, Isaac|Luzzatto family|Sforno"
128,"Adams, John|Jewish Messenger|War of Independence"
129,"American Israelite|Reform Judaism, (also ""Neology""/""Gentilism"")|Wise, I. M."
130,"American Israelite|Creating a unified American Rite|and Ritual ""innovation"""
131,"American Israelite|Jewish Record, The|and Ritual ""innovation""|Young Israel of America"
132,"American Israelite|Jewish Record, The|and Ritual ""innovation"""
133,"Board of Education, Philadelphia|Board of Hebrew Ministers, Philadelphia|Jewish Record, The|School Sectarianism"
134,"Jewish Record, The|Character of"
135,"American Israelite|as language of prayer|Jewish Messenger|Jewish Record, The|and Ritual ""innovation"""
136,"American Israelite|as language of prayer|Jewish Messenger|Jewish Record, The|and Ritual ""innovation"""
137,"Wilson, Vice President"
138,"American Israelite|as language of prayer|Jewish Messenger|Jewish Record, The|Jonah, Solomon"
139,"American Israelite|Jewish Messenger|Jewish Record, The|Creating a unified American Rite|and Ritual ""innovation"""
140,"Gratz, Simeon|Public school|Moral Science"
141,"American Israelite|Jewish Messenger|Jewish Record, The|and Ritual ""innovation"""
142,"Franklin, Benjamin|Immigration|Jefferson, Thomas|Peabody, George|Rhode Island|Touros|Williamson, Isaiah V."
143,"Anglo-Jewry|Jewish Record, The|Montefiore, Judith|and Ritual ""innovation"""
144,"Centennial [1876]|Jewish Record, The|Jones, Horatio Gates|Thomas, Theodore"
145,"Centennial [1876]|Labour, condition of|Sunday Dispatch, The"
146,"Jewish Record, The|Inspiring Hope, The"
147,"Jewish Record, The|Inspiring Hope, The"
148,"Italian artisans|Jewish Record, The|Peace Convention, The"
149,"Jewish Record, The|Inspiring Hope, The|Senior Sachs"
150,"Jewish Record, The"
151,"Jewish Record, The|Inspiring Hope, The"
152,"Jewish Record, The|Inspiring Hope, The"
153,"Jewish Record, The|Inspiring Hope, The"
154,"Jewish Record, The|Inspiring Hope, The"
155,"Jewish Record, The|Rabinowitz, Rev. M.|Wise, I. M.|Yeedish Gazette, The"
156,"Jewish Record, The|Inspiring Hope, The"
157,"Cincinnati College|Hebrew Education Society School|Jewish Record, The|Maimonides College|Western Union College"
158,"Jewish Record, The|Inspiring Hope, The"
159,"Jewish Record, The|Inspiring Hope, The"
160,"Jewish Record, The|Inspiring Hope, The"
161,"Jewish Record, The|Inspiring Hope, The"
162,"Jewish Record, The|Centennial City"
163,"American Catholic Quarterly Review|Chiarini|Deutsch, Emanuel|Eisenmenger, J. A.|Jewish Record, The|Lippincott?s Magazine|Newman, Rev. Louis C.|Selections from the Talmud"
164,"Bnai Brith|Ezekial, Moses|Mazzini, Joseph|Sanger, W.|Statue of Religious Liberty"
165,"Jewish Record, The|A Critical and Hermeneutical Introduction to the Pentateuch"
166,"Ezekial, Moses|Jewish Record, The|Jones, Horatio Gates|Keyser, Charles S.|Mazzini, Joseph|Statue of Religious Liberty|Thanksgiving"
167,"Jewish Record, The|A Critical and Hermeneutical Introduction to the Pentateuch"
168,"Jewish Record, The|A Critical and Hermeneutical Introduction to the Pentateuch"
169,"Jewish Record, The|A Critical and Hermeneutical Introduction to the Pentateuch"
170,"Jewish Record, The|A Critical and Hermeneutical Introduction to the Pentateuch|Rossi, John B de"
171,"Jewish Record, The|A Critical and Hermeneutical Introduction to the Pentateuch"
172,"Jewish Record, The|A Critical and Hermeneutical Introduction to the Pentateuch|Reggio, Isaac Samuel"
173,"Jewish Record, The|A Critical and Hermeneutical Introduction to the Pentateuch"
174,"as language of prayer|Jewish Record, The"
175,"Alliance IsraA?lite Universelle|Bismark, Otto von|Macaulay, Thomas B.|Palestine|Sultan, Turkish|Zionism"
176,"Jewish Record, The|Kirkovitch, Abraham|A Critical and Hermeneutical Introduction to the Pentateuch|Pinsker, S."
177,"Derenburg, Joseph|Jewish Record, The|Luzzatto, S.D. Prof.|Mendelssohn, Moses|Mendes, Dr. F. De Solla|Reggio, Isaac Samuel|Wessely, Hertz"
178,"Jewish Record, The|A Critical and Hermeneutical Introduction to the Pentateuch"
179,"Jewish Record, The|A Critical and Hermeneutical Introduction to the Pentateuch"
180,Purim|Roumania|Russia
181,"Association Review|Bene Yeshurun|Davids, Arthur Lumley|Hebrew Review, The|Raphall, Morris J. Dr.|Young Men?s Hebrew Association"
182,"Freeman, E. A.|Jewish Record, The|Peixotto, B. F.|Public Ledger, The|Roumania"
183,"Republicanism|Roumania|Russo-Turkish War|Sunday Dispatch, The"
184,"Anglo-Jewry|Davids, Arthur Lumley|Hartog, Numa Edward|Henry, Michael|Jewish Chronicle, The (London)|Sketches of Anglo-Jewish History"
185,"Antologica Israelitica (of Corfu)|Jewish Record, The|Luzzatto, Philoxene|Rapoport, S.L."
186,"Abd-al-Rahman III|Cohn, Albert|D?Aboddie, M.|Falashas|Ibn Shaprut, Hisdai|Jewish Record, The|Luzzatto, Philoxene|Luzzatto, S.D. Prof.|Munk, S."
187,"Ben Labrat, Dunash|Ibn Saruq, Menachem ben Jacob|Jewish Record, The|Labrat, Dounash ben|Luzzatto, S.D. Prof."
188,"Ben Labrat, Dunash|Filipowsky, Herschell|Ibn Saruq, Menachem ben Jacob|Ibn Shaprut, Hisdai|Jewish Record, The|Labrat, Dounash ben|Beth Ha-Ozar|Rashi"
189,"Rapoport, S.L.|Slonimsky, Hayim S."
190,"Bonaparte, Napoleon|Busch, Isidore|Donolo, I.|Emanuel|Franz Ferdinand, Archduke|Jewish Record, The|Luzzatto, Dr. Isaiah|Luzzatto, Hezekiah|Autobiography|Medigo, Elias Del|Mendelssohn, Moses|Rossi, Azariah de|Silberman, E. L. (""The Maggid"")|Wessely, Hertz"
191,"Formiggini, Saul|Jewish Record, The|Lolli, Ehud|Luzzatto, Dr. Isaiah|Luzzatto, Philoxene|Luzzatto, S.D. Prof.|Autobiography|Public school|Randegger, Mayer|Reggio, Isaac Samuel|Regina, Miriam|Trieste|Zelman, Samuel V."
192,"Berlin, Isaiah (of Breslau)|Ginzburg, Raphael W.|Gironti (of Brescia)|Jewish Record, The|Luzzatto, Dr. Isaiah|Autobiography|Momigliano (of Piedmont), Rabbi|Nardi, Prof.|Odorici, Mr.|Porto, Rabbi Moses Cohen|Rosencranz, Leon L.|Tiboni (of Brescia), Peter"
193,"Condillac, Etienne Bonnot de|Locke, John|Autobiography|Morpurgo, Rachel|Soave, Moise|Spinoza, Benedict|Tedeschi, Marco"
194,"Ewald, H.|Formiggini, Saul|Gesenius, H.|Jost, Isaac M.|Kochebe Yitzhac|Luzzatto, Philoxene|Autobiography|Zunz, Leopold"
196,"Euchel, Isaac: Life of Mendelssohn|Characters and Manners|Levy, Rabbi (of Trieste)|Lolli, Ehud|Lolli, S. V.|Autobiography|Reggio, Isaac Samuel"
197,"Autobiography|North American Review|Porto, Rabbi Moses Cohen|Tedeschi, Rabbi Mario|Torah Nidreshet"
198,"Adler, Dr. Nathan M. (Chief Rabbi of Great Britain)|Eliot, George: Daniel Deronda|Mendelssohn, Moses|Public Ledger, The"
199,"Bacon, Francis|Luzzatto, Dr. Isaiah|Autobiography|Mainster, Abram (of Robigo)|Proudhon, Pierre Joseph|Torah Nidreshet"
200,"Lolli, Judah|Lolli, S. V.|Luzzatto, Dr. Isaiah|Autobiography|Morpurgo, J. L.|Morpurgo, J. L.|Pincherle, S. L."
201,"Busch, Isidore|Luzzatto, Dr. Isaiah|Autobiography|Reggio, Isaac Samuel|Tedeschi (of Trieste), Moses"
202,"Boston Index, The"
203,"Formiggini, Saul|Luzzatto, Philoxene|Autobiography|Reggio, Abraham|Reggio, Isaac Samuel|Segre, Bella Bathsheba|Torre (of Luneo), Lelllio Della|Trieste, Gabriel"
204,"Benvenisti, Dr. Nathan|Dukes family|Formiggini, Saul|Francis I, King|Nachgelassene Schriften|Urschrift|Kircheim|Kirkovitch, Abraham|Lattes, E. Aaron (Chief Rabbi of Venice)|Luzzatto, Philoxene|Autobiography|Rapoport, S.L.|Torre (of Luneo), Lelllio Della|Trieste, Gabriel|Zunz, Leopold"
205,"Sunday Dispatch, The|Sunday Question"
206,"Juedische Zeitschrift|Luzzatto, Philoxene|Ohev Ger"
207,Ohev Ger
208,"Berlin, Isaiah (of Breslau)|Etheridge, J. W.: Pentateuchal Targumim|Hurt, Abraham|Jeitelles, Judah|Ohev Ger|Randegger, Mayer|Saraval, Rabbi U. V."
209,Ohev Ger
210,"Ohev Ger|Simon, Richard"
211,Chrestomathy|Ohev Ger
212,"Leeser, Rev I.|Luzzatto, Joseph|Ohev Ger"
213,"Artom, Isaac|Ohev Ger|Mazzini, Joseph|Mortara, Edgar|Pious IX|Victor Emmanuel II (King of Italy)"
214,"Alliance IsraA?lite Universelle|Camondo|Cremieux, Isaac Adolphe|Hirsch, Moses de|Ohev Ger|Modigiliani, Dr. Angelo|Piperno, Abraham Benedict|Veneziani, Emanuel"
215,"Isaacs, S. Meyer Rev|Jewish Messenger|Montefiore, Moses"
216,Hebrew Union College (Cincinnati)
217,"Aufrecht, Mr.|Cincinnati (""Queen City"")|Eppinger, W.|Epstein, Dr.|Goldammer, Dr.|Hess, Mr.|Kutner, Rabbi|Lilienthal, Dr. M.|Loewenberg, Cantor W.|Orphan Asylum, Cleveland|Touro, Judah|Wise, I. M.|Wolfenstein, Dr."
218,"Jewish Messenger|Jewish Press, The"
219,Congress of Berlin|Pan-Judaic Congress|Roumania
221,Sepher Hazzichronot|Jewish Messenger|Sepher Hazichronot
222,"Abudarham|Jewish Messenger|Maimonides, Moses|Susan, Issachar ben Mordechai"
223,Alliance IsraA?lite Universelle
224,"Jewish Messenger|Liturgy|Pick, Dr."
225,"Lilienthal, Dr. M.|Luzzatto, Dr. Isaiah|Index raison?e des livres de correspondance du feu SD Luzzatto"
